# Dot product on Tesla T10.
#  Kernel execution times only, excludes time for data transfer.
#  Times as measured by CUDA profiler, average of 100 runs.
# Elems (M), Accelerate (ms), Accelerate (+fusion) (ms), CUBLAS (ms), Repa -N8 (ms), Vector (ms), NDP2GPU (ms)
2       0.4274	        0.2466          0.19855         1.68755         5.68165         1.27834
4       0.8468	        0.4805          0.38461         4.37599         11.36131        2.41261
6       1.2730	        0.7145          0.57096         7.60148         17.00289        3.35637
8       1.7035	        0.9466          0.75818         10.62658        22.67936        4.59049
10      2.1424	        1.1805          0.94461         14.19900        28.55083        5.39598
12      2.5737	        1.4133          1.13070         15.84745        34.08494        6.53667
14      3.0083	        1.6461          1.31780         18.10771        39.85128        7.47369
16      3.4391	        1.8785          1.50670         20.86225        45.49856        8.52176
18      3.8791	        2.1121          1.69351         23.33598        50.98058        12.86
20      4.3099	        2.3443          1.87919         25.78865        56.85258        13.5

